Gene,C,Z,Pval,FDR,Module
ENSG00000048540,0.5172112537105524,662.7251043265659,0.0,0.0,3.0
ENSG00000163515,0.34921894305550083,574.1979951082233,0.0,0.0,3.0
ENSG00000087460,0.6355358191877236,565.3782151585991,0.0,0.0,3.0
ENSG00000115414,0.38696680063502437,565.1681946224749,0.0,0.0,3.0
ENSG00000183036,0.4189976442154746,553.9877536066415,0.0,0.0,3.0
ENSG00000124785,0.6573943034436055,544.4998620066199,0.0,0.0,1.0
ENSG00000173457,0.5666121203029679,530.4367010508803,0.0,0.0,3.0
ENSG00000135452,0.806577940745871,504.88924845682476,0.0,0.0,1.0
ENSG00000165434,0.4538910577298307,498.94677832186443,0.0,0.0,3.0
ENSG00000130522,0.5638097117552116,498.02856533822234,0.0,0.0,3.0
ENSG00000185043,0.7548881807181622,496.130092018941,0.0,0.0,1.0
ENSG00000118816,0.5319205148465479,483.26576732264886,0.0,0.0,3.0
ENSG00000234745,0.894231823308976,481.64812138467835,0.0,0.0,1.0
ENSG00000102109,0.6129770151954305,478.74341863965515,0.0,0.0,17.0
ENSG00000205707,0.7932941267178977,474.9171918918506,0.0,0.0,1.0
ENSG00000198576,0.5000268447004184,474.27596857142817,0.0,0.0,3.0
ENSG00000026025,0.3769821565516073,464.4157556632431,0.0,0.0,11.0
ENSG00000176840,0.47062466190651847,458.28580343716,0.0,0.0,5.0
ENSG00000106211,0.6195738919496941,449.7816782369332,0.0,0.0,5.0
ENSG00000225783,0.4070160698711785,447.43105300577787,0.0,0.0,14.0
ENSG00000178498,0.7739540152489001,445.9305995567222,0.0,0.0,1.0
ENSG00000139970,0.43420226831345776,443.41249700140065,0.0,0.0,16.0
ENSG00000100604,0.7658241085559521,439.03738013204236,0.0,0.0,1.0
ENSG00000158639,0.7389039391876738,438.5205331858382,0.0,0.0,1.0
ENSG00000120306,0.5516620590322813,437.82844898087757,0.0,0.0,5.0
ENSG00000050405,0.41094694285775274,437.05695442012865,0.0,0.0,3.0
ENSG00000164692,0.5968821572885624,432.85917632793974,0.0,0.0,2.0
ENSG00000177459,0.4315842854382136,430.4437841403511,0.0,0.0,3.0
ENSG00000114115,0.580938619611146,430.2237984800591,0.0,0.0,17.0
ENSG00000006128,0.32423391202783014,427.9417759119116,0.0,0.0,15.0
ENSG00000238269,0.803758073430675,425.96852919251046,0.0,0.0,1.0
ENSG00000016082,0.5208111380328236,424.6157478290991,0.0,0.0,2.0
