Gene,C,Z,Pval,FDR,Module
ENSG00000197943,0.31600431033304366,2827.155607435374,0.0,0.0,11.0
ENSG00000174501,0.4602664437709426,2768.457521801654,0.0,0.0,2.0
ENSG00000215182,0.6683447106568708,2317.244827871765,0.0,0.0,2.0
ENSG00000184956,0.5556396012707524,1963.629400981015,0.0,0.0,7.0
ENSG00000163499,0.3657796385518912,1562.6731367139614,0.0,0.0,1.0
ENSG00000166922,0.49281710385852967,1520.9684103915704,0.0,0.0,1.0
ENSG00000276410,0.28752294739797146,1357.4548307753828,0.0,0.0,3.0
ENSG00000151726,0.6366186629256619,1334.8425036323536,0.0,0.0,1.0
ENSG00000203697,0.569441459463054,1278.1218467951994,0.0,0.0,2.0
ENSG00000278677,0.36919140635570247,1260.9593505815137,0.0,0.0,3.0
ENSG00000157017,0.5728118099024945,1248.8271986308603,0.0,0.0,1.0
ENSG00000177606,0.6752151667234478,1237.642853037161,0.0,0.0,1.0
ENSG00000118271,0.3819846846935629,1192.3634538420022,0.0,0.0,1.0
ENSG00000183607,0.6205358942808741,1173.5751929259945,0.0,0.0,2.0
ENSG00000125999,0.4606496929988521,1159.1221333075139,0.0,0.0,7.0
ENSG00000132639,0.48224306235650205,1138.5150634905183,0.0,0.0,1.0
ENSG00000165507,0.44394044911565556,1096.250227689359,0.0,0.0,1.0
ENSG00000079689,0.5968781130296592,1079.0612447744484,0.0,0.0,1.0
ENSG00000169605,0.4291526763184682,1054.8734511851535,0.0,0.0,2.0
ENSG00000145321,0.40852820228464737,983.680521310538,0.0,0.0,1.0
ENSG00000204103,0.28407339898566913,982.1163818359332,0.0,0.0,1.0
ENSG00000102109,0.6161532517467414,973.2780423953731,0.0,0.0,1.0
ENSG00000159388,0.6177238841649226,950.9073151720634,0.0,0.0,1.0
ENSG00000176956,0.4044454649570449,925.6380478713287,0.0,0.0,1.0
ENSG00000117461,0.3387218700940742,925.0025453889474,0.0,0.0,3.0
ENSG00000109472,0.5775479888966779,910.1086003681916,0.0,0.0,1.0
ENSG00000162992,0.42878546525162897,889.220962289712,0.0,0.0,1.0
ENSG00000172156,0.2724332676835914,854.4584656417411,0.0,0.0,16.0
ENSG00000211892,0.4670646913448468,852.1120712237324,0.0,0.0,16.0
ENSG00000266402,0.532160552072636,845.3512112752262,0.0,0.0,11.0
ENSG00000171916,0.3431468160876171,823.9497329865794,0.0,0.0,2.0
ENSG00000245532,0.5164676795118902,807.2148614408646,0.0,0.0,2.0
ENSG00000129538,0.48392760824089504,806.998327472816,0.0,0.0,2.0
ENSG00000156966,0.4348208251786738,793.9861650072656,0.0,0.0,16.0
ENSG00000166959,0.4865405009324849,791.8842408815017,0.0,0.0,1.0
ENSG00000105641,0.18364754195443778,785.6521367229045,0.0,0.0,2.0
ENSG00000099860,0.49861713299849625,783.3301112952857,0.0,0.0,1.0
ENSG00000006071,0.28764726755131576,765.9282649275004,0.0,0.0,1.0
ENSG00000104112,0.611551378282511,765.130403299927,0.0,0.0,1.0
ENSG00000204389,0.5248601039181103,754.9996432092744,0.0,0.0,1.0
ENSG00000276903,0.2690810165948278,747.5141519354079,0.0,0.0,3.0
ENSG00000145198,0.5371894316567505,726.4925858718033,0.0,0.0,1.0
ENSG00000173530,0.32752519311960465,708.5691235548453,0.0,0.0,3.0
ENSG00000188175,0.511320116300844,687.944591864237,0.0,0.0,1.0
ENSG00000095981,0.3203042281676859,682.9045585120331,0.0,0.0,1.0
ENSG00000168631,0.441984476547443,682.7247152506859,0.0,0.0,2.0
ENSG00000178597,0.2661614221654661,681.1778052122108,0.0,0.0,2.0
ENSG00000114115,0.309163532200813,674.6068300910052,0.0,0.0,1.0
ENSG00000086619,0.361244223593614,670.1090736303014,0.0,0.0,1.0
ENSG00000229807,0.32856642436233113,664.2604836889124,0.0,0.0,2.0
ENSG00000167552,0.42897534843584134,660.7399701388717,0.0,0.0,1.0
ENSG00000211592,0.4635745115723025,657.4972704828808,0.0,0.0,11.0
ENSG00000287080,0.22855808312882894,655.9506501972326,0.0,0.0,3.0
ENSG00000162772,0.6247109565864339,655.0091125212091,0.0,0.0,1.0
ENSG00000108551,0.2572994978875151,653.6202402754645,0.0,0.0,1.0
ENSG00000133169,0.42467201517263187,648.130039781056,0.0,0.0,1.0
ENSG00000275714,0.21552789845799392,647.058701221283,0.0,0.0,3.0
ENSG00000166165,0.48312999188775035,642.8031372701812,0.0,0.0,22.0
ENSG00000165105,0.3789678903424464,634.1884425719384,0.0,0.0,2.0
ENSG00000111215,0.19101498275024728,631.7305666066763,0.0,0.0,7.0
ENSG00000185002,0.46170012088832796,630.1068075364917,0.0,0.0,1.0
ENSG00000164287,0.12649321949069314,616.0963051477438,0.0,0.0,3.0
ENSG00000109072,0.35480534570254546,610.5686601736236,0.0,0.0,1.0
ENSG00000132872,0.3333136279315442,607.4993275081946,0.0,0.0,1.0
ENSG00000160888,0.5324440052165277,606.5038621630135,0.0,0.0,1.0
ENSG00000137501,0.41053993194364696,604.5713812066189,0.0,0.0,2.0
ENSG00000170298,0.2836044690989904,596.1096178807285,0.0,0.0,2.0
ENSG00000160678,0.3476880081115963,587.7421169985446,0.0,0.0,1.0
ENSG00000119508,0.277936968651089,582.7444851300817,0.0,0.0,1.0
ENSG00000153446,0.44189427339155246,581.9613656072582,0.0,0.0,7.0
ENSG00000167653,0.4572804753996934,579.3938174056547,0.0,0.0,2.0
ENSG00000090382,0.5251179604465162,574.0256373965185,0.0,0.0,7.0
ENSG00000154856,0.2975842132660102,569.9678393618813,0.0,0.0,23.0
ENSG00000120129,0.4924476515968998,567.6764037018061,0.0,0.0,1.0
ENSG00000178695,0.44320488492575777,563.9816880733719,0.0,0.0,1.0
ENSG00000120738,0.5649285487595749,563.8867902980935,0.0,0.0,1.0
ENSG00000198203,0.4204715949707935,547.2604265262468,0.0,0.0,2.0
ENSG00000178473,0.16641408295887938,545.1129969515556,0.0,0.0,1.0
ENSG00000123358,0.5135864365003215,534.8371936176271,0.0,0.0,1.0
ENSG00000125740,0.5553911777759882,532.6572816505872,0.0,0.0,1.0
ENSG00000019102,0.5258981781693319,531.1566144325793,0.0,0.0,2.0
ENSG00000112773,0.3908028363665326,528.1668233954944,0.0,0.0,3.0
ENSG00000179914,0.2307692900432971,525.4838861680148,0.0,0.0,16.0
ENSG00000176840,0.29915473227582806,525.1023157611947,0.0,0.0,1.0
ENSG00000104879,0.13437949023540768,522.0890082154232,0.0,0.0,22.0
