Gene,C,Z,Pval,FDR,Module
ENSG00000143153,0.5062730313697069,359.4867705165923,0.0,0.0,1.0
ENSG00000134873,0.4819407212498594,264.8362961918572,0.0,0.0,1.0
ENSG00000160182,0.218556600163068,250.06441438991706,0.0,0.0,1.0
ENSG00000245532,0.45879720295318077,181.63891629868536,0.0,0.0,1.0
ENSG00000137154,0.6512814782583741,168.31122078113975,0.0,0.0,1.0
ENSG00000064651,0.3848364795636278,154.09956844137272,0.0,0.0,1.0
ENSG00000166825,0.35702457670935694,153.62743268130637,0.0,0.0,1.0
ENSG00000229807,0.29067553797277607,142.79876070062676,0.0,0.0,1.0
ENSG00000137731,0.4284512635924102,139.71208822682186,0.0,0.0,1.0
ENSG00000185499,0.29268095400626054,120.65874260707857,0.0,0.0,1.0
ENSG00000188042,0.3504791082706595,114.02637859335819,0.0,0.0,1.0
ENSG00000196739,0.2844953204968806,106.2196220741606,0.0,0.0,1.0
ENSG00000266402,0.4206330844701651,106.14972081308427,0.0,0.0,4.0
ENSG00000006042,0.22746493508367233,101.97265067082407,0.0,0.0,1.0
ENSG00000132693,0.18079592517698664,101.07692626145716,0.0,0.0,1.0
ENSG00000205542,0.6016647925494933,100.57317242384036,0.0,0.0,2.0
ENSG00000250722,0.2920928424404904,93.58693979129362,0.0,0.0,1.0
ENSG00000148175,0.2675774322301812,89.25671306146384,0.0,0.0,1.0
ENSG00000211897,0.2519203343224079,84.04946372612541,0.0,0.0,1.0
ENSG00000106538,0.8094305072519373,83.20676333218348,0.0,0.0,2.0
ENSG00000130720,0.2321900440073665,81.60258593735615,0.0,0.0,1.0
ENSG00000112715,0.2793645751549833,81.49970864463513,0.0,0.0,1.0
ENSG00000120738,0.23070017932753478,81.23412400694146,0.0,0.0,1.0
ENSG00000251562,0.34249038372866697,80.93854486851312,0.0,0.0,4.0
ENSG00000211679,0.2484041404713635,80.6724515254932,0.0,0.0,1.0
ENSG00000211895,0.2618823240378824,80.15360638919351,0.0,0.0,1.0
ENSG00000166710,0.3706175745418603,79.09571138077315,0.0,0.0,1.0
ENSG00000211677,0.2735938965245062,78.25106297475426,0.0,0.0,1.0
ENSG00000170540,0.30943355077965956,76.7138369792023,0.0,0.0,1.0
ENSG00000186529,0.2571008862546125,76.47355516060647,0.0,0.0,1.0
ENSG00000125730,0.23351703642220342,75.78396871041917,0.0,0.0,4.0
ENSG00000204128,0.21137722160879452,74.56119816032198,0.0,0.0,1.0
ENSG00000166681,0.2294154252787281,74.26943663153372,0.0,0.0,1.0
ENSG00000138078,0.2662145875108505,73.97322258412336,0.0,0.0,1.0
ENSG00000211896,0.2159356357086339,73.47789916681927,0.0,0.0,1.0
ENSG00000109046,0.27748027452754037,73.01886249113065,0.0,0.0,1.0
ENSG00000130208,0.5710530651961625,72.37419461664892,0.0,0.0,2.0
ENSG00000102109,0.5441822872185109,72.21133376265163,0.0,0.0,2.0
ENSG00000165389,0.3042475691838805,70.1055396980207,0.0,0.0,1.0
ENSG00000165949,0.5175873151903164,70.06183661124177,0.0,0.0,2.0
ENSG00000130429,0.8064378374627239,69.83221218291762,0.0,0.0,5.0
ENSG00000167244,0.16761776068226805,68.98019876461646,0.0,0.0,1.0
ENSG00000118271,0.16948383336999998,68.84811283394347,0.0,0.0,1.0
ENSG00000100170,0.18589478292482395,68.52160056548605,0.0,0.0,1.0
ENSG00000144891,0.21575110659124372,68.1423090506017,0.0,0.0,1.0
ENSG00000125398,0.25955424506311214,67.13993670321162,0.0,0.0,1.0
ENSG00000112306,0.7311743497603397,66.29037880358233,0.0,0.0,5.0
ENSG00000006282,0.16739407298249342,66.01079447042932,0.0,0.0,1.0
ENSG00000108671,0.265992305359366,61.87108247640285,0.0,0.0,1.0
ENSG00000148671,0.6558931727368595,61.74205640159277,0.0,0.0,5.0
ENSG00000134138,0.19205804162626952,58.86281350073894,0.0,0.0,1.0
ENSG00000130203,0.553725020693162,58.18118857676832,0.0,0.0,2.0
ENSG00000155629,0.22366835848055092,58.083193969350425,0.0,0.0,1.0
ENSG00000084207,0.7837151067322491,56.725656776497004,0.0,0.0,5.0
ENSG00000197747,0.6093027084827428,55.74013901458811,0.0,0.0,5.0
ENSG00000130234,0.15997395789802787,54.99837637742676,0.0,0.0,1.0
ENSG00000163993,0.5790509363485614,54.65991889593558,0.0,0.0,5.0
ENSG00000164825,0.20957753894744754,54.52980151651623,0.0,0.0,4.0
ENSG00000136883,0.15076978444318084,53.94295621340808,0.0,0.0,1.0
ENSG00000120162,0.18689393169937643,53.612025508226765,0.0,0.0,1.0
ENSG00000108582,0.21560135383828205,53.51753749467158,0.0,0.0,1.0
ENSG00000002933,0.7270130216956301,51.183157959472936,0.0,0.0,2.0
ENSG00000112308,0.2297263083369782,51.14462153361096,0.0,0.0,1.0
ENSG00000187514,0.6302606644375731,51.11023266549595,0.0,0.0,5.0
ENSG00000143418,0.24523898691369886,50.13473372038685,0.0,0.0,1.0
ENSG00000159202,0.18312787839666134,49.9364051747174,0.0,0.0,1.0
ENSG00000152527,0.14454216710322584,49.401870808948004,0.0,0.0,1.0
ENSG00000267795,0.6181702108730645,49.287129637720966,0.0,0.0,5.0
ENSG00000115884,0.21583083959348157,48.94499857481936,0.0,0.0,1.0
ENSG00000120885,0.6066001308709563,48.478750417385434,0.0,0.0,2.0
ENSG00000176046,0.30638224488289284,48.1372706112974,0.0,0.0,2.0
ENSG00000147526,0.16318949049651532,47.971319119290904,0.0,0.0,1.0
ENSG00000150556,0.12673184372682983,47.92692552159662,0.0,0.0,1.0
ENSG00000196260,0.6299458627084552,47.490316323727264,0.0,0.0,5.0
