year,region,property,value,unit
2006,Western Europe,def,100,%
2006,Eastern Europe,def,110,%
2006,JP,def,90,%
2006,KR,def,90,%
2006,ASI,def,130,%
2006,AFR,def,130,%
2006,RU,def,130,%
2006,NAM,def,110,%
2006,SAM,def,110,%
2006,AUS,def,110,%
2006,Western Europe,min,90,%
2006,Eastern Europe,min,99,%
2006,JP,min,81,%
2006,KR,min,81,%
2006,ASI,min,117,%
2006,AFR,min,117,%
2006,RU,min,117,%
2006,NAM,min,99,%
2006,SAM,min,99,%
2006,AUS,min,99,%
2006,Western Europe,max,110,%
2006,Eastern Europe,max,121,%
2006,JP,max,99,%
2006,KR,max,99,%
2006,ASI,max,143,%
2006,AFR,max,143,%
2006,RU,max,143,%
2006,NAM,max,121,%
2006,SAM,max,121,%
2006,AUS,max,121,%
2006,World,def,100,%
2006,World,min,90,%
2006,World,max,110,%
2006,World,abs_min,0,%
2006,World,abs_max,inf,%
