year,region,activity,property,value,unit
2019,World,by-product_recovery,def,0.000089,t/t
2019,World,by-product_recovery,min,0.0,t/t
2019,World,by-product_recovery,max,0.000445,t/t
2019,World,by-product_recovery,abs_min,0.0,t/t
2019,World,by-product_recovery,abs_max,inf,t/t
2019,World,no_by-product_recovery,def,0.000089,t/t
2019,World,no_by-product_recovery,min,0.0,t/t
2019,World,no_by-product_recovery,max,0.000445,t/t
2019,World,no_by-product_recovery,abs_min,0.0,t/t
2019,World,no_by-product_recovery,abs_max,inf,t/t
