year,region,product,other_material_type,property,value,unit
2006,World,portland,undefined,def,0.0,t/t
2006,World,masonry,undefined,def,0.0,t/t
2006,World,slagmod-portland,undefined,def,0.0,t/t
2006,World,portland-bf-slag,undefined,def,0.0,t/t
2006,World,portland-pozzolan,undefined,def,0.0,t/t
2006,World,pozzolan-mod,undefined,def,0.0,t/t
2006,World,slag-cement,undefined,def,0.0,t/t
2006,World,portland,undefined,min,0.0,t/t
2006,World,masonry,undefined,min,0.0,t/t
2006,World,slagmod-portland,undefined,min,0.0,t/t
2006,World,portland-bf-slag,undefined,min,0.0,t/t
2006,World,portland-pozzolan,undefined,min,0.0,t/t
2006,World,pozzolan-mod,undefined,min,0.0,t/t
2006,World,slag-cement,undefined,min,0.0,t/t
2006,World,portland,undefined,max,0.0,t/t
2006,World,masonry,undefined,max,0.0,t/t
2006,World,slagmod-portland,undefined,max,0.0,t/t
2006,World,portland-bf-slag,undefined,max,0.0,t/t
2006,World,portland-pozzolan,undefined,max,0.0,t/t
2006,World,pozzolan-mod,undefined,max,0.0,t/t
2006,World,slag-cement,undefined,max,0.0,t/t
2006,World,portland,undefined,abs_min,0.0,t/t
2006,World,masonry,undefined,abs_min,0.0,t/t
2006,World,slagmod-portland,undefined,abs_min,0.0,t/t
2006,World,portland-bf-slag,undefined,abs_min,0.0,t/t
2006,World,portland-pozzolan,undefined,abs_min,0.0,t/t
2006,World,pozzolan-mod,undefined,abs_min,0.0,t/t
2006,World,slag-cement,undefined,abs_min,0.0,t/t
2006,World,portland,undefined,dabs_max,1.0,t/t
2006,World,masonry,undefined,dabs_max,1.0,t/t
2006,World,slagmod-portland,undefined,dabs_max,1.0,t/t
2006,World,portland-bf-slag,undefined,dabs_max,1.0,t/t
2006,World,portland-pozzolan,undefined,dabs_max,1.0,t/t
2006,World,pozzolan-mod,undefined,dabs_max,1.0,t/t
2006,World,slag-cement,undefined,dabs_max,1.0,t/t
